"FW"	"DW"	"trial"
"P167xF090"	604.039661909943	182.219238	2010
"P167xF101"	659.950613835103	210.309814	2010
"P167xF103"	709.331314564696	206.466827	2010
"P167xF104"	679.206596044247	201.99411	2010
"P167xF117"	635.368786971121	167.642395	2010
"P167xF124"	662.428977439983	192.402939	2010
"P167xF134"	624.704173388875	204.968689	2010
"P167xF136"	604.198341041396	172.628326	2010
"P167xF137"	680.168137607013	166.185394	2010
"P167xF138"	599.897017587992	184.105469	2010
"P204xF047"	549.889679939966	190.705246	2010
"P204xF055"	589.100492835348	197.229202	2010
"P204xF062"	486.706527587832	159.214233	2010
"P204xF072"	551.904718787793	165.54892	2010
"P204xF087"	486.718892050925	148.003082	2010
"P204xF090"	552.023234015348	179.435516	2010
"P204xF101"	486.958957010612	163.74881	2010
"P204xF103"	453.503037358049	141.511505	2010
"P204xF104"	559.053590998878	175.380981	2010
"P204xF117"	479.430199878699	136.925034	2010
"P204xF124"	513.766332918957	166.7845	2010
"P204xF134"	534.235410387598	172.151993	2010
"P204xF137"	506.350678164221	168.149475	2010
"P204xF138"	530.989361357792	177.895554	2010
"P209xF047"	591.384273575788	174.523727	2010
"P209xF055"	456.909616677614	131.788055	2010
"P209xF062"	468.276096342865	137.99028	2010
"P209xF087"	374.142700751791	127.551056	2010
"P209xF090"	570.644640289136	165.990753	2010
"P209xF101"	430.923177770345	140.771942	2010
"P209xF103"	502.27787435062	159.079163	2010
"P209xF117"	437.406660647802	118.279045	2010
"P209xF124"	477.637242135634	142.884903	2010
"P209xF134"	391.890870527247	129.30986	2010
"P209xF136"	570.24692003172	174.914352	2010
"P209xF137"	519.183232667031	150.857315	2010
"P209xF138"	501.098714021685	146.414551	2010
"P210xF047"	648.499625671629	175.618683	2010
"P210xF055"	519.37974349276	167.645096	2010
"P210xF062"	475.430217982243	128.963013	2010
"P210xF072"	576.590960858537	150.118271	2010
"P210xF090"	688.131312632706	198.651703	2010
"P210xF101"	553.187456279504	203.870102	2010
"P210xF103"	487.391897371287	156.33194	2010
"P210xF104"	552.732384390501	158.813095	2010
"P210xF117"	539.189577270226	150.165009	2010
"P210xF124"	492.881798966941	159.657272	2010
"P210xF136"	556.403062786386	158.115891	2010
"P210xF137"	493.053611841183	155.386078	2010
"P210xF138"	516.839734926455	154.584625	2010
"P211xF047"	625.658352132679	188.789551	2010
"P211xF055"	501.720605709166	165.123734	2010
"P211xF062"	557.174954624464	166.005783	2010
"P211xF072"	661.084886717513	162.065826	2010
"P211xF087"	456.678748576528	151.631302	2010
"P211xF090"	579.826182411361	159.008545	2010
"P211xF101"	541.545081605849	180.853073	2010
"P211xF103"	574.173632415729	189.582214	2010
"P211xF104"	578.245378781492	186.413879	2010
"P211xF117"	524.845819852475	156.4133	2010
"P211xF124"	569.760867994705	162.252396	2010
"P211xF134"	506.495885154004	161.942642	2010
"P211xF136"	567.555472768435	168.361374	2010
"P211xF137"	566.045084958106	186.758667	2010
"P211xF138"	553.242704590072	152.502167	2010
"P215xF047"	573.162491650751	161.039673	2010
"P215xF055"	504.636665651323	161.026566	2010
"P215xF062"	447.792593224673	143.115952	2010
"P215xF072"	530.445540415342	171.485809	2010
"P215xF087"	445.855206782801	140.353363	2010
"P215xF090"	401.311671640889	107.935562	2010
"P215xF101"	480.486999229954	165.574661	2010
"P215xF103"	474.319494399252	127.637611	2010
"P215xF104"	481.451800927877	158.101242	2010
"P215xF117"	504.639434806941	147.401382	2010
"P215xF124"	527.932276528538	175.820999	2010
"P215xF134"	382.439069422664	127.230492	2010
"P215xF136"	502.532581063194	157.586792	2010
"P215xF137"	547.360208955268	161.73645	2010
"P215xF138"	383.909610974066	109.550423	2010
"P223xF047"	751.668683231346	252.472809	2012
"P223xF099"	673.88282023905	202.759735	2012
"P223xF101"	612.829795288889	201.463821	2012
"P223xF104"	694.345381372091	204.740997	2012
"P223xF145"	580.952302002851	197.629028	2012
"P223xF151"	732.357897472618	206.402512	2012
"P223xF154"	582.837884518209	208.015411	2012
"P223xF157"	641.595359133981	195.799377	2012
"P223xF159"	723.763371660466	211.260361	2012
"P223xF160"	660.459045034188	169.462402	2012
"P223xF162"	656.636670767874	195.327667	2012
"P235xF047"	422.012513799341	134.749603	2012
"P235xF099"	426.988931038037	115.356766	2012
"P235xF101"	481.078647000195	165.839432	2012
"P235xF104"	604.981201615959	195.923752	2012
"P235xF145"	566.962653762345	202.360794	2012
"P235xF151"	541.944510489651	161.316437	2012
"P235xF154"	562.879685155744	184.504761	2012
"P235xF157"	541.853976388366	131.326355	2012
"P235xF159"	503.016281324206	144.110229	2012
"P235xF160"	585.95746912534	184.129318	2012
"P235xF161"	727.328660088872	219.59082	2012
"P235xF162"	590.331732710481	203.42009	2012
"P245xF047"	591.188849884854	215.726242	2012
"P245xF099"	583.086605889797	199.507309	2012
"P245xF101"	510.703951059091	169.336182	2012
"P245xF104"	555.342310104734	206.097809	2012
"P245xF145"	556.306806438214	205.49614	2012
"P245xF151"	481.877228498385	165.672852	2012
"P245xF154"	594.824434228874	199.848816	2012
"P245xF157"	443.876850584763	171.08699	2012
"P245xF160"	626.709822946137	209.776138	2012
"P245xF161"	554.29110661236	165.2276	2012
"P245xF162"	550.260748017336	191.292877	2012
"P261xF047"	755.150362855465	223.363495	2012
"P261xF099"	702.998899495461	203.399963	2012
"P261xF101"	595.549220595476	223.672211	2012
"P261xF104"	686.521395550726	207.784286	2012
"P261xF145"	541.015978261175	183.88649	2012
"P261xF151"	612.694389334996	186.873413	2012
"P261xF154"	673.369548120199	216.851868	2012
"P261xF157"	609.901626240517	189.863174	2012
"P261xF159"	675.034641239208	220.383911	2012
"P261xF160"	581.583290599921	194.132553	2012
"P261xF161"	550.715653188995	141.962997	2012
"P261xF162"	702.773408309255	208.549652	2012
"P271xF047"	603.027827075816	188.307587	2012
"P271xF099"	569.986407682078	194.198868	2012
"P271xF101"	513.976191561237	151.017014	2012
"P271xF104"	552.416869537391	190.374649	2012
"P271xF145"	461.424719129372	149.838623	2012
"P271xF151"	539.268807434492	183.606995	2012
"P271xF154"	482.905113902704	159.445526	2012
"P271xF157"	493.814679437096	152.438599	2012
"P271xF159"	443.600845711721	147.401215	2012
"P271xF160"	484.599821153116	157.932709	2012
"P271xF161"	701.354775869975	212.079422	2012
"P271xF162"	615.522111434833	201.847809	2012
"P272xF047"	661.212903090388	200.350052	2012
"P272xF099"	729.252900618797	220.357285	2012
"P272xF101"	533.127381162872	178.087433	2012
"P272xF104"	619.811087081442	174.102051	2012
"P272xF145"	616.922374134762	190.489868	2012
"P272xF151"	715.893662917245	225.682129	2012
"P272xF154"	688.175984132576	218.098816	2012
"P272xF157"	645.50868364042	192.116104	2012
"P272xF159"	693.596928532203	198.018478	2012
"P272xF161"	737.711054831374	216.71492	2012
"P272xF162"	738.69343456119	224.700272	2012
"P272xF169"	620.747802853119	197.207886	2012
"P284xF047"	778.11326755319	241.014755	2012
"P284xF099"	720.144690618227	216.753418	2012
"P284xF101"	613.48552428504	188.654709	2012
"P284xF104"	696.260326384132	213.146698	2012
"P284xF145"	644.382989714614	221.096588	2012
"P284xF151"	645.861731991877	190.850449	2012
"P284xF154"	594.3968004105	171.918488	2012
"P284xF157"	722.354062886866	209.567825	2012
"P284xF159"	707.996618966909	217.054855	2012
"P284xF160"	670.435579923924	177.777435	2012
"P284xF161"	796.349320805915	211.064072	2012
"P284xF162"	794.179231413052	224.259399	2012
"P284xF169"	673.533581455745	228.468231	2012
